TITLE: Bill of Materials,,,,,,,,,,,,,,,,,,,
BOM NO: 05-059358-01-c.csv,,,,,,,,,,,,,,,,,,,
DATE: 08/04/2021,,,,,,,,,,,,,,,,,,,
DESIGN: 02_059358c_top,,,,,,,,,,,,,,,,,,,
TEMPLATE: Z:\allegro\v172_site\cdssetup\template.bom,,,,,,,,,,,,,,,,,,,
CALLOUT: C:\tmp\20_059358c\worklib\02_059358c_top\bom\bom.callouts,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ITEM#,Qty,WW_PN,DESCRIPTION, VALUE,JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG, MFG_PN,HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
44,2,E031850,"CONN-PCB 2POS MALE HDR UNSHROUDED SINGLE ROW ST, 2.54MM PITCH, 5.84MM POST HEIGHT, 2.54MM SOLDER TAIL", TSW-102-07-G-S,CNTHMHDR1X2L200W98H343,N/A,N/A,N/A,"P1,P10",SAMTEC INC., TSW-102-07-G-S,REL,N/A,N/A,N/A,N/A,N/A,?,?
45,2,E034784,"CONN-PCB 8POS MALE HDR 2ROW ST 0.64MM SQ POST, 8.13MM POST HEIGHT, 2.54MM PITCH", TSM-108-02-T-SV,CNSMMHDR1X8L800W100H493,N/A,N/A,N/A,"P2,P5",SAMTEC INC., TSM-108-02-T-SV,REL,N/A,N/A,N/A,N/A,N/A,?,?
46,1,E034783,"CONN-PCB 10POS MALE HDR 2ROW ST 0.64MM SQ POST, 38.13MM POST HEIGHT, 2.54MM PITCH", TSM-110-02-T-SV,CNSMMHDR1X10L1000W100H493,N/A,N/A,N/A,P3,SAMTEC INC., TSM-110-02-T-SV,REL,N/A,N/A,N/A,N/A,N/A,?,?
47,1,E034785,"CONN-PCB 6POS MALE HDR 2ROW ST 0.64MM SQ POST, 8.13MM POST HEIGHT, 2.54MM PITCH", TSM-106-02-T-SV,CNSMMHDR1X6L600W100H493,N/A,N/A,N/A,P4,SAMTEC INC., TSM-106-02-T-SV,REL,N/A,N/A,N/A,N/A,N/A,?,?
48,1,E029079,"CONN-PCB 4POS MALE HDR, 0.64MM SQ POST, 2.54MM PITCH, 5.84MM POST HEIGHT, 2.54MM SOLDER TAIL", HTSW-104-07-G-S,CNTHMHDR1X4L400W98H343,N/A,N/A,N/A,P6,SAMTEC INC., HTSW-104-07-G-S,REL,N/A,N/A,N/A,N/A,N/A,?,?
49,1,E030542,"CONN-PCB 1POS MALE UNSHROUDED 0.635MM SQ POST HDR, 5.84MM POST HEIGHT, 5.08MM SOLDER TAIL", TSW-101-08-G-S,CNTHMHDR1X1L100W100H343,N/A,N/A,N/A,P7,SAMTEC INC., TSW-101-08-G-S,REL,N/A,N/A,N/A,N/A,N/A,?,?
51,1,E000735,CONN-PCB HDR ST MALE - PMOD, TSW-106-08-G-D,CNHDR2X6H330LD35,N/A,N/A,N/A,P9,SAMTEC, TSW-106-08-G-D,NON-PREF,N/A,N/A,N/A,N/A,6002423,?,?
52,6,E019640,RES SMD 10K Ohm 5% 1/16W 0402 AEC-Q200, 10K,R0402,5,N/A,1/16W,"R1,R3,R6,R7,R63,R76",VISHAY, CRCW040210K0JNED,REL,N/A,N/A,N/A,N/A,7000280,?,?
54,8,E006826,RES SMD 0 Ohm JUMPER 1/10W 0603 AEC-Q200,0,R0603,JUMPER,N/A,1/10W,"R11,R18,R19,R26,R39,R40,R52,R57",PANASONIC, ERJ-3GEY0R00V,REL,A003-0038-001,N/A,N/A,N/A,7008623,?,?
55,1,E003456,RES SMD 270 Ohm 5% 1/10W 0402,270,R0402,1,N/A,1/16W,R13,PANASONIC, ERJ-2GEJ271X,REL,N/A,N/A,N/A,N/A,7006993,?,?
